,Unnamed: 0,tweet_id,retweeter_id,retweeter_location
975,975,1458501583906295813,1785583254,None
977,977,1458448640528183300,1433020752211611652,Rwanda
978,978,1458448640528183300,1342648539575320576,None
980,980,1458448640528183300,35817996,United States
982,982,1458448640528183300,1442565893259599877,United States
984,984,1458448640528183300,1445131045595189254,Algeria
986,986,1458448640528183300,1173457732579418112,Canada
993,993,1458448640528183300,342907075,None
997,997,1458448640528183300,497021784,Ghana
999,999,1458448640528183300,1457399158730547206,United States
1001,1001,1458448640528183300,1459007613333504002,India
1002,1002,1458448640528183300,799531411,United States
1004,1004,1458448640528183300,843999904598974465,None
1005,1005,1458448640528183300,1364007687676067841,Japan
1007,1007,1458448640528183300,148405713,India
1008,1008,1458448640528183300,1152355967901884416,United States
1009,1009,1458448640528183300,3001202519,Mali
1011,1011,1458448640528183300,1458752672430010372,United States
1012,1012,1458448640528183300,1370412669300215814,Indonesia
1013,1013,1458448640528183300,3094232313,None
1014,1014,1458448640528183300,1373625208871948289,Japan
1015,1015,1458448640528183300,701314473328414720,Philippines
1018,1018,1458448640528183300,1450504882952327169,United States
1021,1021,1458448640528183300,323677398,None
1022,1022,1458448640528183300,43065857,Canada
1025,1025,1458448640528183300,1417106674679123976,Pakistan
1026,1026,1458448640528183300,322225068,India
1027,1027,1458448640528183300,800285150160396289,United States
1028,1028,1458448640528183300,38105260,Australia
1029,1029,1458448640528183300,201421060,None
1030,1030,1458448640528183300,26796094,United States
1032,1032,1458448640528183300,776499916915048448,United States
1033,1033,1458448640528183300,846862187431788544,United States
1035,1035,1458448640528183300,387582927,Japan
1037,1037,1458448640528183300,1263112791570800645,Japan
1038,1038,1458448640528183300,771284286989217796,None
1043,1043,1458448640528183300,2802698166,None
1044,1044,1458448640528183300,1193511944159977472,Ghana
1047,1047,1458448640528183300,16158913,United States
1049,1049,1458448640528183300,1034572631025098754,None
1050,1050,1458448640528183300,168865188,United States
1051,1051,1458448640528183300,695375397114896384,Ghana
1053,1053,1458448640528183300,1286617448456704001,India
1054,1054,1458448640528183300,1393946680534372355,United Kingdom
1056,1056,1458448640528183300,877917851130118144,India
1058,1058,1458448640528183300,1150348362048143360,India
1062,1062,1458448640528183300,314753131,United States
1063,1063,1458448640528183300,398902122,None
1066,1066,1458448640528183300,1230318978800783360,Canada
1067,1067,1458448640528183300,1458201622543273984,Japan
1068,1068,1458448640528183300,15504380,Canada
1071,1071,1458196382624276490,18973033,Canada
1072,1072,1458196382624276490,1342648539575320576,None
1073,1073,1458196382624276490,1034572631025098754,None
1075,1075,1458196382624276490,1442565893259599877,United States
1077,1077,1458196382624276490,1445131045595189254,Algeria
1078,1078,1458196382624276490,845051167621238784,United Kingdom
1079,1079,1458196382624276490,1442580373678874632,Chile
1082,1082,1458196382624276490,1459007613333504002,India
1083,1083,1458196382624276490,342907075,None
1084,1084,1458196382624276490,1262802883021586432,United States
1086,1086,1458196382624276490,3119602786,Cyprus
1089,1089,1458196382624276490,1152355967901884416,United States
1090,1090,1458196382624276490,2841616232,None
1091,1091,1458196382624276490,16420491,United States
1092,1092,1458196382624276490,1458808317275430930,Turkey
1094,1094,1458196382624276490,1450504882952327169,United States
1095,1095,1458196382624276490,536152438,India
1096,1096,1458196382624276490,249704264,United States
1097,1097,1458196382624276490,1365173407415898113,Indonesia
1098,1098,1458196382624276490,771284286989217796,None
1099,1099,1458196382624276490,293639193,India
1100,1100,1458196382624276490,2802698166,None
1102,1102,1458196382624276490,3400276632,Germany
1104,1104,1458196382624276490,14655300,Germany
1106,1106,1458196382624276490,992390491105882112,France
1107,1107,1458196382624276490,174414341,Somalia
1109,1109,1458196382624276490,398902122,None
1110,1110,1458196382624276490,1221672282860478464,Germany
1111,1111,1458196382624276490,16956532,United States
1112,1112,1458196382624276490,1431143924458872834,India
1114,1114,1458196382624276490,2897748295,India
1116,1116,1458196382624276490,149300800,Mali
1118,1118,1458196382624276490,1123093142733910016,Japan
1119,1119,1458196382624276490,1399191356992593922,Saudi Arabia
1120,1120,1458196382624276490,729186620,None
1122,1122,1458196382624276490,1103199807445913601,Iraq
1123,1123,1458196382624276490,250719728,Italy
1124,1124,1458196382624276490,323677398,None
1125,1125,1458196382624276490,1457563907690749953,United States
1127,1127,1458196382624276490,148405713,India
1128,1128,1458196382624276490,734968627292700672,Ghana
1130,1130,1458196382624276490,1150348362048143360,India
1132,1132,1458196382624276490,898315108589256704,India
1133,1133,1458196382624276490,41028096,India
1136,1136,1458196382624276490,324309011,India
1137,1137,1458196382624276490,3343688313,Uganda
1138,1138,1458196382624276490,1417106674679123976,Pakistan
1140,1140,1458196382624276490,23162881,Japan
1142,1142,1458196382624276490,1457266812656119810,India
1143,1143,1458196382624276490,101780826,Japan
1144,1144,1458196382624276490,4373324892,India
1145,1145,1458196382624276490,387582927,Japan
1147,1147,1458196382624276490,1294107344247242754,India
1152,1152,1458196382624276490,1362689912282079235,None
1155,1155,1458196382624276490,927398580662312960,India
1156,1156,1458196382624276490,1362125810539266048,United States
1157,1157,1458196382624276490,1306360499710373889,United Kingdom
