,created_at,id,text,truncated,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,is_quote_status,retweet_count,favorite_count,hashtags,user_mentions
149,Fri Sep 10 19:51:14 +0000 2021,1436416998695600130,I can't believe it! Four days left until the premiere of Season 19. It feels like yesterday that I was surprising… https://t.co/E7BEkflNxV,True,N/A,N/A,N/A,False,120,1134,N/A,N/A
150,Fri Sep 10 19:19:28 +0000 2021,1436409005019066368,We’re ready. #EllensFinalSeason https://t.co/wXOHKFZhNC,False,N/A,N/A,N/A,False,103,1401,['EllensFinalSeason'],N/A
151,Fri Sep 10 14:09:48 +0000 2021,1436331076276817922,"RT @MercedesLV: Did my dad help you on September 11, 2001? If so, I'm trying to find you. (a thread)

On September 11th, 2001 my dad caught…",False,N/A,N/A,N/A,False,30875,0,N/A,['MercedesLV']
152,Thu Sep 09 20:00:39 +0000 2021,1436056980330729490,Don’t mess with @EricStonestreet… I mean it. Happy birthday Eric! I love you. https://t.co/SWUAQhZfla,False,N/A,N/A,N/A,False,68,1125,N/A,['ericstonestreet']
153,Thu Sep 09 17:35:01 +0000 2021,1436020331676770308,"We’re 5 days away from Premiere Week! To celebrate, I’m turning back time with this Season 16 Premiere Week clip of… https://t.co/M2JcBNaqf7",True,N/A,N/A,N/A,False,78,778,N/A,N/A
154,Thu Sep 09 04:02:16 +0000 2021,1435815794437328896,"Alright West Coast, now it’s your turn! Tune into @NBC for a brand-new episode of #FamilyGameFight!",False,N/A,N/A,N/A,False,59,644,['FamilyGameFight'],['nbc']
155,Thu Sep 09 01:38:30 +0000 2021,1435779616732434434,Frozen just took on a whole new meaning @KristenBell #FamilyGameFight,False,N/A,N/A,N/A,False,32,526,['FamilyGameFight'],['KristenBell']
156,Thu Sep 09 01:22:26 +0000 2021,1435775570617397253,"Well, I hope he likes pie. He sure got a lot of it in this game. #FamilyGameFight",False,N/A,N/A,N/A,False,40,774,['FamilyGameFight'],N/A
157,Thu Sep 09 01:07:08 +0000 2021,1435771721592623106,I still don’t think I’m clear on which of the Baileys are cousins and which are married… #FamilyGameFight,False,N/A,N/A,N/A,False,33,590,['FamilyGameFight'],N/A
158,Thu Sep 09 00:57:12 +0000 2021,1435769220084559875,"Happy Hump Day and more importantly, happy #FamilyGameFight day! It’s time to turn on @NBC and get this party started.",False,N/A,N/A,N/A,False,33,513,['FamilyGameFight'],['nbc']
159,Wed Sep 08 22:10:30 +0000 2021,1435727268760850439,I’ll never forget shooting the Season 8 Premiere at the VMAS. 5 days until the Season 19 Premiere! @JTimberlake… https://t.co/v5HOaAIF1H,True,N/A,N/A,N/A,False,82,841,N/A,['jtimberlake']
160,Wed Sep 08 17:00:29 +0000 2021,1435649252135342080,"Happy birthday @Pink! Gosh, I love you. https://t.co/o1CK5A0jhY",False,N/A,N/A,N/A,False,194,2600,N/A,['Pink']
161,Tue Sep 07 23:57:36 +0000 2021,1435391834491031555,Here’s that video of Vince Vaughn selling my audience butt-pads. You heard me. https://t.co/c8OeqbHXIT,False,N/A,N/A,N/A,False,92,1053,N/A,N/A
162,Tue Sep 07 19:07:31 +0000 2021,1435318833951043585,The Season 19 Premiere countdown continues… only 6 days away! Today I’m looking back at the Season 1 Premiere in 20… https://t.co/VFrgDR4BMO,True,N/A,N/A,N/A,False,109,1258,N/A,N/A
163,Tue Sep 07 15:17:16 +0000 2021,1435260887246331912,I am so excited to share the trailer for my new @cartoonitoCN show #LittleEllen. It’s available for streaming on… https://t.co/bEVimlJ0Kv,True,N/A,N/A,N/A,False,121,1133,['LittleEllen'],['CartoonitoCN']
164,Mon Sep 06 23:31:45 +0000 2021,1435022941570224130,"Doing a little light gardening. Happy Labor Day, everybody. https://t.co/bfJJx3LlLR",False,N/A,N/A,N/A,False,107,2709,N/A,N/A
165,Mon Sep 06 17:58:03 +0000 2021,1434938965128146944,The countdown for the Season 19 Premiere starts NOW! We are officially one week away. Getting ready by remembering… https://t.co/upNScMqfEN,True,N/A,N/A,N/A,False,145,1306,N/A,N/A
